filename,caption
000763D.jpg,"000763D Loading grain, Fremantle, ca. 1890"
001563PD.jpg,"001563PD Steamships at Broome Jetty at low tide, ca.1925"
003371D.jpg,"003371D Barrack St. Bridge, Perth, 1905?"
005416D.jpg,"005416D Shops in the Carillon Arcade, Perth, 1988"
007681PD.jpg,"007681PD A streetsweeper sweeps away horse manure, Wellington Street, Perth, 1929"
008180PD.jpg,"008180PD Queen's Gardens, Perth, ca. 1920"
008189PD.jpg,"008189PD Supreme Court Gardens, Perth, ca. 1920"
009245PD.jpg,"009245PD Freshwater Bay and Claremont Jetty below the Osborne Hotel, 1908"
009248PD.jpg,"009248PD Picnicking at Lovers Walk, Peppermint Grove, ca. 1905"
009606PD.jpg,"009606PD Opening of the William and Wellington St tram services 3 May 1902 (cnr Wellington & Barrack St), E. E. Rogers, Tramway Company Manager is left of the driver"
009647PD.jpg,"009647PD Boats for hire, H. Sutton's Boatshed at the Barrack Street jetty, 1906"
009704PD.jpg,"009704PD A bullock team passes the stern of the barque Arabella, probably at Condon, Western Australia, 1899."
009963PD.jpg,"009963PD Hay Street east from William Street, ca. 1906"
010218PD.jpg,"010218PD Lake View Consols, Miners working in shaft, 1897?"
010807D.jpg,"010807D Stores lugger at Broome Jetty, 1953"
011486D.jpg,"011486D St. George's Terrace to the Pensioner Barracks, ca. 1900"
011527D.jpg,011527D Goods await loading at the jetty
012673PD.jpg,"012673PD Perth Markets, ca.1930"
013467PD.jpg,"013467PD Sir John Forrest leaving Claremont Station to open new road, 1902"
013890PD.jpg,"013890PD Inside Hackett Hall, Public Library of Western Australia, 1913"
013893PD.jpg,"013893PD Inside Hackett Hall, Public Library of Western Australia, 1913"
017533PD.jpg,"017533PD Horseshoe Bridge and the Railway Station, Perth, 1905?"
017544PD.jpg,"017544PD Hay Street, Perth, east from King Street, 1906?"
017545PD.jpg,"017545PD Children play on a wrecked boat on the shore of the Swan River, Fremantle, ca.1905"
018392PD.jpg,"018392PD Mounts Bay Road, 16 January 1935"
019119PD.jpg,"019119PD Felling jarrah tree, 1900-1910?"
022888PD.jpg,"022888PD Cab and cabby, 1936"
022986PD.jpg,"022986PD Using cross-cut saw, timber felling, South-West, 1930s?"
046316PD.jpg,"046316PD Last trips of the Duchess paddle steamer on the Swan River, 1927"
046599PD.jpg,"046599PD Installing electric cable, ca. 1920"
082163PD.jpg,"082163PD Field day discussion, Frank leading, Cherrabun Station, ca. 1957"
092074PD.jpg,"092074PD University of Western Australia through the trees, 1955-1956"
092081PD.jpg,"092081PD University of Western Australia, 1955-1956. The Physics Building"
095645PD.jpg,"095645PD Interior of U.W.A. library, 1931"
095716PD.jpg,"095716PD U.W.A. left wing, c1931"
095720PD.jpg,"095720PD Ceremony in Winthrop Hall, c1931"
095722PD.jpg,"095722PD Ceremony in Winthrop Hall, c1931"
095730PD.jpg,"095730PD U.W.A. Cafeteria, 1938"
100219PD.jpg,"100219PD Inside the East Perth Power Station, 1927"
100646PD.jpg,"100646PD Museum and Art Gallery of Western Australia gallery, 1929"
100648PD.jpg,"100648PD Museum and Art Gallery of Western Australia gallery, 1929"
100650PD.jpg,"100650PD Museum and Art Gallery of Western Australia gallery, 1929"
100653PD.jpg,"100653PD Museum and Art Gallery of Western Australia gallery, 1929"
102280PD.jpg,"102280PD Looking west along St George's Terrace from Victoria Avenue, 1933"
10804AD:147:101.jpg,"10804AD/147/101 Cottesloe Beach, January 1919."
110446PD.jpg,"110446PD Christmas Day, Cottesloe Beach, Western Australia, 1930."
111595PD.jpg,"111595PD Izzy Orloff at the falls, 1922"
117690PD.png,"117690PD Holy Trinity Church, York, ca.1916"
128360PD.jpg,"128360PD Ferry Valkyrie on the river, 1939"
133661PD.jpg,"133661PD New Australia at Fremantle, 27.4.55"
135306PD.jpg,"135306PD The Pioneer Reef docked at Fremante, 1959"
136059PD.jpg,"136059PD Tram No. 128 on Hay St., Subiaco, the conductor with points bar stands at the rear gesturing at traffic on the crossover preventing the tram from reversing, 1958"
